[SEA 328]
[EAS 1702]
[ASO 210]
[SON 1185]
[EPI 131]
[PIS 51]
[ISO 159]
[SOD 35]
[ODE 199]
[SCE 92]
[CEN 435]
[ENE 666]
[LIN 2041]
[INE 2291]
[TEX 114]
[EXT 636]
[SPE 1222]
[PEA 417]
[EAK 838]
[AKE 3594]
[KER 695]
[DEL 284]
[ELE 534]
[LET 1977]
[ETE 646]
[TED 1827]
[ALL 9652]
[RIG 3494]
[IGH 15537]
[GHT 15978]
[JIM 8957]
[YOU 28440]
[OUR 5727]
[QUA 237]
[UAR 171]
[ART 2518]
[RTE 345]
[TER 4428]
[ERL 82]
[RLI 86]
[LIE 1565]
[IES 1095]
[LOO 2364]
[OOK 2644]
[VER 6448]
[ERY 3249]
[GOO 2437]
[OOD 2851]
[HOW 2649]
[ARE 5812]
[THI 12350]
[HIN 7247]
[ING 23064]
[NGS 1118]
[THE 27762]
[LIB 39]
[IBR 28]
[BRA 604]
[RAR 52]
[ARY 455]
[MIC 15270]
[ICH 15708]
[CHA 16597]
[HAE 15084]
[AEL 15084]
[FAL 58194]
[ALS 58527]
[LSE 58316]
[TOL 409]
[OLD 1628]
[COU 2308]
[OUL 4419]
[ULD 4370]
[LDN 419]
[CLO 557]
[LOS 752]
[OSE 1642]
[COM 3808]
[OME 6054]
[MAS 374]
[AST 1504]
[STE 1884]
[FOR 5931]
[GUI 110]
[UID 29]
[IDA 204]
[DAN 419]
[ANC 1119]
[NCE 2026]
[HIS 7799]
[WHA 6872]
[HAT 18420]
[SAY 1720]
[AYI 550]
[YIN 1235]
[GRA 745]
[RAS 260]
[ASS 1016]
[SSH 15]
[SHO 2296]
[HOP 352]
[OPP 247]
[PPE 909]
[PER 2501]
[ACT 1629]
[CTU 872]
[TUA 750]
[UAL 969]
[LLY 6039]
[CAL 1820]
[LLE 1009]
[LED 724]
[HER 10340]
[ERE 9244]
[BUT 3085]
[YEA 3964]
[EAH 3239]
[WEL 2817]
[ELL 7217]
[DON 4716]
[ONE 6180]
[PHO 1204]
[HON 1376]
[YES 1927]
[LIK 3537]
[IKE 3730]
[OFF 2376]
[FFI 1252]
[FIC 1343]
[ICE 2842]
[MAN 2745]
[ANA 631]
[NAG 483]
[AGE 1332]
[GER 1043]
[PLE 2548]
[LEA 2470]
[ASE 1240]
[HEL 1360]
[LLO 852]
[SCO 578]
[COT 343]
[OTT 882]
[REG 312]
[EGI 277]
[GIO 126]
[ION 3557]
[ONA 553]
[NAL 650]
[DUN 505]
[UND 2650]
[NDE 1481]
[DER 2051]
[MIF 359]
[IFF 713]
[FFL 395]
[FLI 501]
[PAP 612]
[APE 818]
[PRO 1748]
[ROD 161]
[ODU 133]
[DUC 248]
[UCT 207]
[CTS 114]
[JUS 4840]
[UST 5490]
[WAN 2837]
[ANT 4141]
[NTE 1613]
[TAL 1989]
[ALK 1902]
[ANG 3606]
[NGE 3401]
[QUI 470]
[UIC 176]
[ICK 1329]
[CUT 374]
[DEA 1304]
[EAL 3092]
[THA 13386]
[HAN 3856]
[ANK 2015]
[MUC 686]
[UCH 1014]
[SIR 129]
[GEN 402]
[ENT 4011]
[NTL 304]
[TLE 1462]
[LEM 400]
[EMA 330]
[AND 18708]
[SCH 515]
[CHO 583]
[HOL 1881]
[OLA 126]
[LAR 920]
[SOR 1198]
[ORR 1389]
[RRY 2970]
[MIS 715]
[IST 1830]
[STA 4074]
[TAK 1647]
[WAS 3973]
[WOM 458]
[OMA 456]
[LKI 632]
[KIN 3507]
[SHE 2389]
[HAD 991]
[LOW 732]
[VOI 312]
[OIC 368]
[ROB 1309]
[OBA 317]
[BAB 780]
[ABL 972]
[BLY 387]
[SMO 95]
[MOK 77]
[OKE 536]
[CLE 565]
[EAR 2904]
[ARS 830]
[THR 1539]
[HRO 950]
[ROA 361]
[OAT 314]
[WAY 1987]
[BEE 1267]
[EEN 1655]
[LAS 922]
[FOU 429]
[ROU 1588]
[OUG 1782]
[UGH 2991]
[SEE 2016]
[HAV 5392]
[AVE 6093]
[NTI 1144]
[TIR 180]
[IRE 900]
[FLO 258]
[OOR 590]
[NGD 4]
[GDO 4]
[DOM 94]
[FAR 290]
[EYE 233]
[CAN 3999]
[REC 795]
[ECE 533]
[CEP 306]
[EPT 377]
[PTI 279]
[TIO 2694]
[ONI 479]
[NIS 396]
[PAM 7212]
[EES 359]
[ESL 44]
[SLY 348]
[HAS 1037]
[WIT 3668]
[ITH 4740]
[ORE 1849]
[REV 283]
[EVE 5014]
[KNO 4844]
[NOW 6294]
[INK 3056]
[UTE 1053]
[HOU 2994]
[OUP 416]
[UPL 185]
[AGO 169]
[GRO 606]
[ROW 829]
[OWL 134]
[WLS 19]
[ANY 2491]
[MES 1019]
[ESS 2657]
[SSA 224]
[SAG 161]
[GES 388]
[FAX 62]
[FRO 1729]
[ROM 1806]
[COR 705]
[ORP 204]
[RPO 240]
[POR 752]
[ORA 354]
[RAT 1000]
[ATE 3088]
[TIM 1896]
[IME 1894]
[PEC 524]
[ECI 602]
[CIA 491]
[IAL 509]
[FIL 274]
[ILI 355]
[CAB 67]
[ABI 164]
[BIN 177]
[NET 177]
[VEN 1317]
[TEP 155]
[EPA 174]
[BAS 303]
[ASK 642]
[SKE 248]
[KET 386]
[FAC 557]
[ACE 1385]
[PEO 1081]
[EOP 1090]
[OPL 1093]
[BES 531]
[EST 2541]
[BOS 300]
[OSS 722]
[HEY 4591]
[GOD 921]
[NEV 707]
[WOR 2457]
[ORK 1674]
[RKE 349]
[KED 816]
[PLA 1899]
[LAC 1021]
[BEF 342]
[EFO 353]
[HIL 731]
[ILA 140]
[ARI 566]
[RIO 478]
[IOU 669]
[OUS 1646]
[GET 3807]
[OUT 5979]
[OWS 458]
[CAM 563]
[AME 1937]
[MER 1930]
[ERA 781]
[ORL 239]
[RLD 225]
[MUG 54]
[PRE 1472]
[RET 907]
[ETT 1456]
[TTY 405]
[SUM 155]
[UMS 44]
[OUN 2139]
[PEN 1391]
[ENC 777]
[CER 346]
[GIF 168]
[IFT 349]
[FTS 55]
[SIN 1547]
[NGI 385]
[GIN 780]
[SHA 620]
[HAL 597]
[LAY 678]
[RUM 159]
[PUM 78]
[UMP 411]
[IMI 234]
[MIT 354]
[ITA 399]
[TAT 493]
[TES 781]
[HEA 1782]
[EAV 678]
[AVY 27]
[DRU 162]
[UMM 241]
[MMI 194]
[MIN 1555]
[DWI 9951]
[WIG 9898]
[JOB 558]
[CLI 435]
[IEN 1254]
[NTS 1050]
[ABO 2670]
[BOU 2736]
[UAN 18]
[TIT 172]
[ITI 673]
[TIE 292]
[TYP 107]
[YPE 87]
[COP 200]
[OPI 198]
[PIE 314]
[IER 276]
[WHE 2324]
[HET 93]
[ETH 1428]
[SUP 475]
[UPP 362]
[PPL 313]
[PLY 94]
[HEM 991]
[PAY 202]
[BOR 241]
[ORI 501]
[RIN 3993]
[MYS 230]
[YSE 212]
[SEL 904]
[ELF 586]
[SSU 160]
[STI 1682]
[TIL 745]
[ILL 3014]
[LOV 1036]
[OVE 2854]
[AFT 473]
[FTE 527]
[SEV 201]
[STR 1018]
[TRA 1136]
[RAI 680]
[AIN 1565]
[INS 972]
[GRU 96]
[RUN 576]
[UNT 870]
[NOT 5381]
[OTH 1996]
[LAT 910]
[CAR 3731]
[BAC 1640]
[ACK 2604]
[CEL 376]
[LUN 282]
[UNC 683]
[NCH 728]
[WOU 1936]
[GRE 1529]
[REA 6143]
[EAT 2417]
[JAN 1434]
[DOE 1018]
[OES 1359]
[ESN 459]
[INT 2409]
[ERF 400]
[RFE 202]
[FER 821]
[LEV 215]
[EVI 2585]
[VIN 3293]
[NSO 76]
[GOU 30]
[WAL 1165]
[LLA 651]
[ODH 1]
[DHA 9]
[HAM 166]
[NTO 1245]
[TON 914]
[BEC 1344]
[ECA 1298]
[CAU 1719]
[AUS 1875]
[USE 3140]
[SCA 2276]
[RED 2215]
[ALR 859]
[LRI 620]
[NYT 544]
[YTH 891]
[ADD 191]
[END 1972]
[NDA 394]
[DID 2531]
[IDN 897]
[AXE 24]
[XED 49]
[MOR 1557]
[ORN 600]
[RNI 469]
[NIN 1254]
[OKS 545]
[WHY 1347]
[ISN 232]
[OMP 1015]
[MPA 501]
[PAN 684]
[UNS 215]
[EFF 88]
[ICI 335]
[CIE 103]
[NCY 115]
[OMM 366]
[MMU 71]
[MUN 75]
[UNI 265]
[NIC 932]
[ICA 992]
[CAT 602]
[ATI 1883]
[OBL 272]
[BLE 1654]
[PUT 1010]
[GAR 213]
[ARB 140]
[RBA 101]
[BAG 201]
[JOK 204]
[BRO 504]
[ROT 364]
[PPO 383]
[POS 696]
[SED 1132]
[BIL 246]
[LLS 498]
[XES 53]
[VEL 227]
[ELY 718]
[INC 581]
[MEE 527]
[EET 1003]
[ETI 713]
[TIN 3107]
[LEN 519]
[BOA 235]
[OAR 147]
[ARD 1763]
[DEC 349]
[CID 258]
[IDE 1901]
[DED 454]
[TIF 195]
[IFY 48]
[SCR 679]
[CRA 826]
[RAN 1372]
[TAM 80]
[AMF 43]
[MFO 130]
[ORD 818]
[ANI 469]
[FIN 1487]
[EXC 587]
[XCE 169]
[LIS 2255]
[TEN 1330]
[MAD 524]
[ADE 676]
[ALA 236]
[ARM 433]
[BEL 607]
[IND 1909]
[GOI 2035]
[OIN 3541]
[GIE 46]
[DIN 1434]
[SPO 335]
[POK 41]
[KEN 359]
[JOS 108]
[OSH 192]
[HIM 1527]
[SAM 332]
[EIT 150]
[CON 2132]
[ONV 172]
[NVI 182]
[NCO 145]
[OWE 516]
[WEV 24]
[MEA 1284]
[EAN 1864]
[DOW 1190]
