[TH 118405]
[IN 100502]
[HE 97731]
[ER 93798]
[OU 88639]
[AN 81155]
[HA 76510]
[RE 65378]
[AT 57534]
[YO 56004]
[EL 54207]
[ON 51775]
[NG 51140]
[IT 47821]
[TO 46015]
[ME 45842]
[LL 44733]
[OR 43391]
[ND 41037]
[GE 40865]
[IS 40320]
[HI 38621]
[NE 37735]
[EA 37322]
[ST 36569]
[AR 36567]
[NO 35947]
[VE 35145]
[ES 33766]
[EN 33598]
[AL 33356]
[RY 32632]
[LE 30802]
[CH 29685]
[IC 28908]
[SE 28723]
[TE 28413]
[WH 27398]
[LA 26341]
[DO 25967]
[GH 25753]
[HO 25484]
[OW 25238]
[AM 24715]
[RR 24709]
[LI 24101]
[IG 23906]
[KE 23903]
[MI 23712]
[WE 23658]
[RI 23482]
[ET 23398]
[ED 23357]
[CA 23141]
[NT 22906]
[GO 22791]
[WA 22754]
[WI 22232]
[UT 22191]
[US 22128]
[OT 22096]
[BE 22062]
[AS 21865]
[HT 21609]
[OM 21266]
[TI 21138]
[RA 20955]
[CO 20918]
[SO 20560]
[EE 19393]
[AI 19313]
[OO 19254]
[MA 19122]
[JE 19020]
[IM 19011]
[RO 18630]
[AY 18538]
[TA 18523]
[OF 17902]
[UR 17332]
[LO 16479]
[PA 15610]
[SH 15354]
[AE 15303]
[EO 15212]
[LY 15113]
[DI 14393]
[DE 14068]
[ID 13927]
[YE 13901]
[RG 13727]
[EY 13698]
[CE 13531]
[PE 13522]
[AV 13169]
[AC 13026]
[LD 12526]
[FO 12417]
[BO 12347]
[OK 12060]
[EV 12031]
[WO 11896]
[UL 11794]
[CK 11769]
[UN 11726]
[SI 10985]
[MO 10648]
[IL 10627]
[IE 10539]
[NA 10521]
[SA 10479]
[AD 10312]
[OL 10294]
[TT 10223]
[OD 10207]
[DW 10130]
[AB 10114]
[KN 10010]
[RS 9942]
[RT 9913]
[DA 9841]
[NK 9734]
[MY 9701]
[AH 9679]
[OS 9652]
[TR 9533]
[KI 9429]
[OH 9402]
[SS 9349]
[BA 9321]
[JI 9189]
[DY 9186]
[NI 9035]
[EC 8924]
[AK 8893]
[UP 8876]
[FI 8873]
[BU 8857]
[JU 8624]
[KR 8589]
[VI 8309]
[PL 8267]
[OI 7990]
[IR 7941]
[TS 7818]
[IO 7801]
[NN 7527]
[EM 7400]
[IF 7397]
[NS 7333]
[OP 7259]
[IK 7095]
[FR 7004]
[AP 6770]
[PO 6684]
[PR 6631]
[FE 6573]
[AU 6519]
[FF 6456]
[UG 6243]
[SU 6159]
[RU 6146]
[OV 6073]
[NY 6038]
[NC 6036]
[CT 5953]
[BL 5893]
[IV 5847]
[TU 5770]
[OB 5581]
[SC 5498]
[GI 5431]
[GU 5342]
[PI 5287]
[TY 5244]
[RD 5219]
[AG 5177]
[KA 5110]
[PP 5049]
[HY 5037]
[UE 4977]
[GR 4917]
[GA 4828]
[CR 4701]
[UH 4699]
[EX 4694]
[FA 4654]
[KS 4578]
[UM 4574]
[CL 4473]
[PH 4459]
[DS 4447]
[BR 4406]
[BY 4308]
[EW 4261]
[SP 4200]
[RK 4147]
[YS 4074]
[MP 4070]
[UC 4023]
[TL 4002]
[BI 3818]
[EI 3803]
[HU 3767]
[EP 3764]
[LK 3711]
[YL 3691]
[CI 3663]
[IA 3634]
[DR 3628]
[PU 3616]
[MM 3542]
[HR 3541]
[UY 3495]
[RN 3437]
[WN 3418]
[YA 3285]
[OE 3165]
[DN 3158]
[LS 3066]
[FU 3054]
[OC 2977]
[CU 2960]
[MU 2807]
[JO 2799]
[JA 2798]
[AW 2779]
[RM 2604]
[EF 2553]
[NL 2538]
[SN 2531]
[IP 2475]
[LU 2464]
[RL 2444]
[OY 2420]
[QU 2386]
[UI 2356]
[GS 2320]
[YB 2305]
[YI 2297]
[FT 2246]
[UA 2233]
[DD 2230]
[NU 2227]
[TW 2218]
[SK 2210]
[MB 2166]
[OA 2158]
[UD 2103]
[PS 2055]
[OG 2038]
[TC 2035]
[DU 2032]
[FL 2027]
[SL 1978]
[YT 1912]
[SM 1898]
[VA 1876]
[VO 1805]
[LF 1796]
[LR 1765]
[EG 1703]
[AF 1654]
[GL 1541]
[PT 1534]
[HH 1533]
[LT 1512]
[MR 1476]
[UB 1474]
[MS 1442]
[SW 1383]
[IB 1373]
[HS 1317]
[RC 1279]
[WR 1271]
[IZ 1260]
[NF 1208]
[ZE 1194]
[XT 1173]
[EH 1154]
[LP 1150]
[WS 1141]
[GG 1106]
[TM 1080]
[XC 1077]
[EB 1064]
[CC 1042]
[GN 993]
[RP 986]
[SY 983]
[WM 961]
[RV 958]
[HM 954]
[BS 935]
[AZ 934]
[NV 926]
[DL 913]
[AA 888]
[EK 856]
[UF 802]
[BB 800]
